PIM | Brand,UPC Code,English Description,COST
Vicks,5000174726046,<p><strong>Highlights:</strong></p><ul><li>Soothing and refreshing</li><li>Relieves minor sore throat</li><li>Relieves cough due to a cold or inhaled irritants</li></ul>,7.5
Corega,5000198021202,"<h3><strong>Highlights:</strong></h3><ul>
<li><strong>It helps secure your dentures, making sure you feel comfortable while using your dentures.</strong></li><li><strong>It creates a barrier between the denture and the gums, to prevent the accumulation of food debris, the occurrence of any infections, or possible ulcers.</strong></li><li><strong>It does not contain any food that can disturb you during use.</strong></li><li><strong>Easy to use and clean.</strong></li><li><strong>Gives a Refreshing Smell To The Surfaces</strong></li><li><strong>High Quality</strong></li></ul>",42.0
Corega,5000198124422,"<p><strong>Highlights:</strong></p><li>Helps you enjoy foods that are difficult to eat, and forms a seal to
 help keep food from getting stuck between your dentures and gums.</li><li>Gives you the confidence you need, you will speak with ease, and laugh with confidence.</li>",69.0
Nexium,5000456007337, ,68.7
Nexium,5000456007344, ,35.25
Nexium,5000456007399, ,77.25
Nexium,5000456007429, ,48.05
Rhinocort,5000456007634, ,50.65
Laperva,5001860147541,"<p><strong>Highlights:</strong></p><ul><li>Contains vitamins and mineral salts, to promote ideal hydration levels during exercise, to improve health and to support all vital functions of the body.</li><li>It enhances the speed of muscle recovery after exercise and prevents the breakdown of muscle mass because it contains glutamine.</li><li>20 mg of Digezyme digestive enzymes, which include: (Alpha Amylase - Protease - Lactase - Lipase - Cellulase), which plays an important role in improving the bioavailability of the product, as it improves the ideal digestion process and enhances the speed of absorption of all nutrients, and also reduces the occurrence of dig</li></ul>",360.0
Wowtein,5002860346354,"<p><strong>Highlights:</strong></p><ul>  
<li>Perfect choice for energy production, strength enhancement, endurance 
and muscle growth. Is micronized, so the particles have a very little 
average diameter, which improves solubility  </li>  
<li> Absorption and increased bioavailability Suitable for vegetarians.  </li>  
<li> Sugar-Free. Free of gluten, lactose, soy, flavours and colours.  </li>  
<li> Fat-free.&nbsp;</li></ul>",120.0
Laperva,5002860346378,<p><strong>Highlights:</strong></p><ul><li>Helps reduce Muscle Fatigue During Training</li><li>Helps Build Muscle and Increase Muscle Size</li><li>Helps Keep The Body Hydrated During Exercise or During Daily Exertion</li><li>Helps to Enhance The Production of Hormones in The Body (Testosterone)</li></ul>,199.0
Laperva,5002860346385,<p><strong>Highlights:</strong></p><ul><li>Free of caffeine & creatine</li><li>Delay muscle fatigue during exercise</li><li>Improving oxygen intake during workouts</li><li>Convert fatty acids into energy for burning fat</li></ul>,135.0
Laperva,5002860346484,"<p><strong>Highlights:</strong></p><ul><li>Rapidly Absorbed</li><li>No Sugar, Carb, or Fat</li><li>Supports Muscle Growth</li><li>Supports muscle recovery</li><li>28g Protein per serving</li></ul>",365.0
Laperva,5002860346798,<p><strong>Highlights:</strong></p><ul><li>24.95 Grams of Carbohydrates</li><li>Increase Endurance and Build Muscle</li><li>Source of Energy to Enhance Performance</li></ul>,160.0
Laperva,5002860347375,"<p><strong>Highlights:</strong></p><ul>
<li>Enhance mental focus and cognitive function</li><li>Support fat burning and increase metabolic rate</li><li>Improve endurance and promote muscle mass growth</li></ul>",135.0
Feromin,6281080002953, ,12.0
Mebagen,6281080010101, ,21.65
Coxicam,6281080011009, ,13.3
Flamazin,6281080011177, ,19.4
Folic,6281080011252, ,6.9
Folic,6281080011276, ,6.9
Riazolin,6281080011832, ,16.65
Rumafen,6281080012181, ,21.05
,ABG03,,597.66
,ABG05,,931.55
,ABG10,,1142.6
,ABG15,,1207.26
,EA14,,165.48
,EA38,,226.18
,ISCM1015,,2040.64
,ISCM1022,,2765.93
,ISCM1520,,2968.47
,ISCM2025,,860.72
,ISCM2030,,2682.65
,ISCM3030,,866.4
,NSTM1015E,,6144.4
,NSTM1520E,,9338.2
,NSTM2030E,,12502.33
,OXF14,,24.36
,OXF15,,235.12
,OXF16,,582.16
,OXK14,,36.54
,OXK15,,48.72
,OXK16,,121.8
,OXN11,,212.63
,OXN12,,403.86
,OXN13,,720.0
,OXN16,,648.0
,OXP03,,750.0
,OXP03-EA14D,,505.78
,OXP04,,234.6
,OXP05,,0.0
,OXP05-EA14,,373.2
,OXP05-EA38,,382.28
,OXS16,,28.42
,OXS20,,117.67
,OXS25,,69.2
Riagesic,6281080012563, ,5.65
Rumafen,6281080014222, ,23.5
Tedo,6281080015083,"<p><strong>Highlights:</strong></p><ul>
<li>Treatment of erectile dysfunction.</li><li>Tadalafil 20 mg is a treatment for adult men with erectile dysfunction.</li><li>This is when a man cannot have, or maintain a hard, erection suitable for sexual activity.</li><li>Tadalafil has been shown to significantly improve the ability to obtain a hard erected penis suitable for intercourse.</li></ul>",129.7
Tedo,6281080015175, ,136.15
Rofenac,6281086000120, ,19.8
Histop,6281086000182, ,6.9
Ferose,6281086000502, ,14.35
Claritine,6281086000519,"<p><strong>Highlights:</strong></p><ul><li>Claritine tablets relieves multiple symptoms, including sneezing, runny nose, itchy & watery eyes and itchy nose or throat</li><li>Claritine is suitable for above 12 years and weight more than 30 kg</li><li>The Claritine effect lasts for 24 hours</li><li>Claritine is non-drowsy; it gives relief from symptoms without drowsiness, so you can make the most of your day     </li></ul>",19.6
Ferose,6281086000540, ,19.3
Claritine,6281086000557,"<p><strong>Highlights:</strong></p><ul>
      
<li>Claritin syrup relieves multiple symptoms, including sneezing, runny
        nose, itchy & watery eyes and itchy nose or throat
      </li>      
<li>Claritine syrup is suitable for above 2 years</li>      
<li>The Claritine effect lasts for 24 hours</li>      
<li>
        Claritine is non-drowsy; it gives relief from symptoms without
        drowsiness, so you can make the most of your day       </li></ul>",20.75
Lorine,6281086000625,"<p><strong>Highlights:</strong></p><ul>
<li>Claritin syrup relieves multiple symptoms, including sneezing, runny nose, itchy & watery eyes and itchy nose or throat</li><li>Loratidine syrup is suitable for above 2 years</li><li>The Loratidine effect lasts for 24 hours</li><li>Loratidine is non-drowsy; it gives relief from symptoms without drowsiness, so you can make the most of your day</li></ul>",18.65
Rofenac,6281086000663, ,11.45
Fevadol,6281086000830, ,7.95
Flutab,6281086001004, ,9.9
Flutab,6281086001011, ,9.25
Ferose,6281086001172, ,19.4
,PM1015,,1171.17
,PM3DL-L,,900.0
,PM3DL-R,,900.0
,PM3DM-L,,765.6
,PM3DM-R,,676.0
,PM3DXL-L,,990.0
,PM3DXL-R,,990.0
,PMB1015,,151.64
,PMB1515,,307.0
,PMB1520,,129.78
,PMB2025,,177.27
,PML3DL-L,,576.74
,PML3DL-R,,706.34
,PML3DM-L,,691.51
,PML3DM-R,,721.89
,PML3DXL-L,,442.46
,PML3DXL-R,,459.95
,SCM0611,,370.15
,SCM1015,,1169.41
,SCM1515,,548.14
,SCM1520,,732.98
,SCM2025,,1738.49
,SCM3030,,886.06
Parafon,6281080012402, ,25.4
Pigmanorm,6281080012419, ,63.1
Peptazol,6281086001233, ,39.05
Peptazol,6281086001240, ,78.1
Verine,6281086001769, ,19.45
Snafi,6281086001783, ,88.95
Aerius,6281086002056, ,23.95
Neorin,6281086002063, ,22.7
Lorine,6281086002575,"<p><strong>Highlights:</strong></p><ul>
<li>Loratadine FM are used to relieve symptoms associated with seasonal allergic rhinitis (hay fever) and perennial allergic rhinitis.</li><li>Symptoms of these conditions can include sneezing, runny nose, nasal itching, in addition to burning, itching and watering of the eyes.</li><li>Loratadine FM are also used to relieve symptoms of chronic idiopathic urticaria (skin rash consisting of hives and wheals).</li></ul>",17.65
Snafi,6281086003961, ,136.15
Fevadol,6281086010099, ,4.2
Exylin,6281086010174, ,7.7
Histop,6281086010235, ,6.9
Fevadol,6281086010532, ,9.65
Exylin,6281086010563, ,6.0
Fevadol,6281086010921, ,5.8
Fevadol,6281086010938, ,10.05
Rofenac,6281086010945, ,8.5
Sapofen,6281086011065, ,17.4
Lorinase,6281086011980, ,22.9
Rofenac,6281086012161, ,11.15
Verine,6281086012208, ,43.2
Lejam,6281086012901,,67.0
Lorinase,6281086104484, ,24.6
Betadine,6281086110201, ,45.0
Betadine,6281086110225,<p><strong>Highlights:</strong></p><ul><li>Treatment of vaginitis</li><li>Helps to fight off infection</li><li>Strong antiseptic solution</li><li>Kills germs and microorganisms</li><li>Quick action</li></ul>,55.0
Sapofen,6281086221044, ,7.2
Liblab,6281086240328, ,38.65
Cialis,6281086650028, ,109.5
Canesten,6285074000321, ,16.15
Canesten,6285074000338, ,17.95
Canesten,6285074000345, ,29.2
Canesten,6285074000352, ,17.95
Rennie,6285074000765,"<p><strong>Highlights:</strong></p><ul><li>Rennie Peppermint chewable work fast to relieve symptoms of heartburn and indigestion</li><li>Antacids formulated to neutralise excess stomach acid in the stomach</li><li>Rennie antacid tablets convert excess stomach acids into water</li><li>Vegan-friendly, suitable for children over 12 and during pregnancy </li></ul>",9.3
Bepanthen,6285074000857,,19.95
Aspirin,6285074001113,"<p><strong>Highlights:</strong></p><ul>
    
<li>Aspirin Protect tablets are low-dose Aspirins that are used to help
      prevent heart attacks as well as recurrent clot-related strokes, and
      mini-strokes in high-risk patients
    </li>    
<li>
      The active ingredient of Aspirin Protect tablets is acetylsalicylic acid
    </li>    
<li>
      These heart protection pills are formulated with a special coating to be
      less likely to cause stomach discomfort
    </li>    
<li>Aspirin Protect pills can be taken to prevent heart attacks</li></ul>",19.05
Bepanthen,6285074002974,"<p><strong>Highlights:</strong></p><ul><li>Bepanthen skin moisturizer is a daily moisturizer for dry, damaged skin</li><li>A skin moisturizer that is formulated with Pro Vitamin B5, which heals and protects vulnerable skin</li><li>A light, easily absorbed cream to care for skin exposed to everyday stresses</li><li>Bepanthen skin moisturizer is used for daily routine use, but can also be used to help rehydrate skin after sunburns</li><li>This hydrating cream is suitable for both adults</li></ul>",24.95
Bepanthen,6285074002981,"<p><strong>Highlights:</strong></p><ul><li>Bepanthen moisturizing cream is a daily moisturizer for dry, damaged skin</li><li>A moisturizing cream that is formulated with Pro Vitamin B5, which heals and protects vulnerable skin</li><li>A light, easily absorbed cream to care for skin exposed to everyday stresses</li><li>Bepanthen moisturizing cream is used for daily routine use, but can also be used to help rehydrate skin after sunburns</li></ul>",69.85
Primolut N,6285074004145, ,18.4
Priorin,6285074004534,<p><strong>Highlights:</strong></p><ul>  <li>Priorin Capsules 90\'s  </li>  <li> Increase immune system  </li>  <li> Provide Essential Energy  </li>  <li> Good for Health</li></ul>,86.55
Pharmaton,6285079000326, ,29.0
Ezolvin,6285085000327, ,6.2
Fludrex,6285085000372, ,12.0
Dilanyl,6285085000389,,10.35
I Profen,6285085000907,"<p><strong>Highlights:</strong></p><p>What Ibuprofen is and what it is used for:</p><p>Ibuprofen is used for the symptomatic treatment of mild to moderate pain (headache, toothache, muscle ache, backache, and menstrual cramps), fever, and pain and inflammation in arthritic diseases.</p>",13.6
Panadrex,6285085001003, ,5.05
Fludrex,6285085001560, ,12.3
Telfast,6285088001260,"<p><strong>Highlights:</strong></p><ul>
<li>Telfast® is an anti-histamine that provides fast, non-drowsy relief from the symptoms of seasonal allergic rhinitis (hay fever) in adults and children over 12 years old.</li><li>It helps in treating itchy skin rashes or hives with a trusted formulation.</li><li>Fexofenadine hydrochloride, a second-generation antihistamine that relieves allergy symptoms without causing drowsiness keeps you focused when you need it the most.</li><li>With just one tablet a day you can get on with your life without worrying about your allergies.</li></ul>",26.55
Telfast,6285088001277, ,28.65
Buscopan,6285088002243, ,12.75
Mucosolvan,6285088002304, ,15.0
Mucosolvan,6285088002311, ,34.9
Pantomax,6285094000110, ,31.65
Levozin,6285094000691, ,15.95
Avalon,6285095000089,,34.0
Avalon,6285095004643, ,22.4
Avalon,6285095004698, ,23.0
Avalon,6285095005374, ,41.6
Rhinase,6285095005701, ,22.1
Avalon,6285095006388, ,12.15
Avalon,6285095008726,"<p><strong>Highlights:</strong></p><ul>
<li>Erectile Dysfunction.</li></ul><p><strong><br></strong></p>",64.0
Avalon,6285095010347, ,38.8
Zovirax,6285096000200, ,16.3
Xyzal,6285096000743, ,21.6
Zyrtec,6285096000750, ,16.2
Zyrtec,6285096000767, ,19.35
Panadol,6285096000798,<p><strong>Highlights:</strong></p><ul><li>Film coated tablet</li><li>Assist with cold and flu</li><li>Relieves sore throat</li><li>Relieves muscle pain and toothache</li></ul>,5.8
Panadol,6285096000804, ,9.15
Panadol,6285096000811,"<p><strong>Highlights:</strong></p><p><strong>Panadol Advance is effective for:</strong></p><ul>
<li>Headache Muscle Pain</li><li>Colds & Influenza Neuralgia</li><li>Backache Toothache</li><li>Period Pain Rheumatic Pain</li><li>Pain of Osteoarthritis</li></ul>",6.05
Panadol,6285096000828,<p><strong>Highlights:</strong></p><ul>  <li>Assist with blocked and runny nose  </li>  <li> Relieves headache and body ache  </li>  <li> Relieves sinus pain and congestion  </li>  <li> Assist with itchy and watery eyes </li></ul>,12.3
Panadol,6285096000835,"<p><strong>Highlights:</strong></p><ul><li>Panadol Extend is a sustained release formulation that can provide long-lasting relief from joint pain such as that associated with osteoarthritis.</li><li>Panadol Extend can be a convenient choice, containing a higher dose of paracetamol than regular Panadol tablets. Panadol Extend may provide up to 8 hours relief from pain.<br>Panadol Extend is a unique bi-layer tablet incorporating an immediate-release and a sustained release dose of paracetamol.</li><li>Paracetamol is released in 2 stages, with the first stage being released quickly, for rapid onset of action, and the second stage being released slowly over the day or night, to provide prolonged pain relief.</li></ul>",15.75
Panadol,6285096000842,"<p><strong>Highlights:</strong></p><ul><li>Panadol Extra is ideal for those who want the benefits of Panadol, plus a little extra relief from mild to moderate pain such as headaches, toothache and period pain. The ingredients in Panadol Extra provide up to 37% more powerful pain relief than standard paracetamol. It is also gentle on stomach when used as prescribed .</li><li>Panadol Extra is a paracetamol-based analgesic that provides relief from fever and strong pain such as: headaches, including migraine, muscular aches and pains, period pain, toothache, and sore throat.</li></ul>",8.0
Panadol,6285096000873, ,6.9
Panadol,6285096002853,"<p><strong>Highlights:</strong></p><ul><li>This product consists of three active ingredients: paracetamol, chlorpheniramine and pseudoephedrine hydrochloride.</li><li>Paracetamol is a medication that belongs to a class of medications known as analgesics (pain relievers) and antipyretics (fever reducers).</li><li>Chlorpheniramine is an antihistamine that acts by decreasing the effects of histamine in your body and therefore helps in relieving allergy signs and symptoms, like, sneezing, watery eyes, itching, and runny nose. Pseudoephedrine is a medication that belongs to a class of medicines known as “decongestants” and acts by decreasing nasal stuffiness that you may experience during cold and flu.</li><li>It is used for the night time relief from cold and flu symptoms.</li></ul>",12.3
Panadol,6285096002877, ,11.6
Otriallergy,6285096003706, ,26.0
Betnovate,6285097000209,,10.1
Dermovate,6285097000223, ,9.45
Dermovate,6285097000230, ,9.45
Ventolin,6285097000704,"<p><strong>Highlights:</strong></p><ul>
<li>It is also used to prevent asthma brought on by exercise.</li><li>It is a quick-relief medication.</li><li>Salbutamol belongs to a class of drugs known as bronchodilators.</li><li>It works by relaxing the muscles around the airways so that they open up and you can breathe more easily.</li><li>Controlling symptoms of breathing problems can decrease time lost from work or school.</li></ul>",15.64
Panadol,6285097002487,,11.85
Rinofed,6285101000003, ,7.3
Rinofed,6285101000010, ,3.85
Diclomax,6285101000041, ,19.8
Rinofed,6285101000508, ,7.65
Diclomax,6285101000751, ,10.55
Repaderm,6285101000775, ,20.0
Repaderm,6285101000782, ,9.85
Paraxone,6285101000881, ,14.3
Oflam,6285101000911, ,20.5
Fallah,6285101001673, ,43.7
Xefo,6285101001734, ,23.95
Delaxin,6285101003608, ,47.75
Acical,6285104000024,"<p><strong>Highlights:</strong></p><h4>Mechanism Of Action Of antacid</h4><ul><li>The antacids act by neutralizing the acid in the stomach</li><li>Simethicone is anti-flatulent that changes surface tension of gas bubbles, allowing easier elimination of gas.</li></ul>",7.0
Pantoloc,6285104000093, ,28.5
Evit,6285104000116, ,36.3
Diclopid,6285105000337, ,9.1
Lohist,6285105000795, ,10.4
Pediamol,6285105001624, ,3.15
Aciloc,6285128000024, ,61.0
Betazol,6285128000215, ,13.6
Clara,6285128000260, ,17.65
Dompy,6285128000307, ,16.25
Dompy,6285128000314, ,19.0
Elica,6285128000338,,19.2
Elica,6285128000345, ,18.0
Elica,6285128000352,<p><strong>Highlights:</strong></p><ul>  <li>Formulated with care  </li>  <li> Hygienic packaging  </li>  <li> Refer to the packaging for information on use  </li>  <li> Packed with a host of goodness </li></ul>,25.55
Fast Flam,6285128000376, ,26.95
Hyfresh,6285128000499, ,34.15
Optifresh,6285128000680, ,12.3
Relaxon,6285128000765,"<p><strong>Highlights:</strong></p><p>Relaxon™ capsule offers quick relief of pain and restores mobility even in</p><p>severe painful spasms of skeletal muscles.</p><p>Relaxon™ exerts a fast pain relief and it is indicated as an adjunct to</p><p>rest, physical therapy, and other measures for the relief of discomfort</p><p>associated with acute, painful musculoskeletal conditions.</p>",24.15
Salibet,6285128000772,"<p><strong>Highlights:</strong></p><ul>
<li>This product consists of two active ingredients; betamethasone di-propionate and salicylic acid.</li><li>Betamethasone di-propionate belongs to a class of medicines known as” topical corticosteroids” that acts by reducing inflammation, itchiness and redness of the skin.</li><li>Salicylic acid is a medicine that acts by softening the top layer of scales present on the surface of your skin, allowing betamethasone di-propionate to reach the affected skin area below the scales in order to help with your skin disease recovery.</li><li>This product is used for the treatment of adults and children with skin problems involving a layer of scales covering the affected skin.</li><li>This product will help in decreasing the itchiness and redness of your skin and removing the layer of scales.</li></ul>",12.9
Voltic,6285128000901, ,26.6
Deslor,6285128000987, ,23.3
Triopan,6285128001014, ,39.65
Erecta,6285128001021, ,48.55
Acretin,6285128001076,"<p><strong>Highlights:</strong></p><li>Effectively narrows the wide pores in your skin.</li><li>It has an effective effect in regulating oily secretions in the skin.</li><li>Acretin cream contains the active ingredient tretinoin, which is a form of Vitamin A, which is used to treat and prevent acne.</li><li>It also has a significant effect in reducing wrinkles.</li><li>It exfoliates and stimulates the skin to renew cells, thus restoring the skin\'s freshness.</li><li>It may be used for pigmentation and skin lightening, as it removes the layer of dead cells and helps the body form new cells.</li><li>Acartin can be utilized to lighten the knees and elbows, for its effectiveness in getting rid of dead cells.</li><li>Its results begin to appear after using it for a period of 8 to 12 weeks.</li>",19.5
Croma,6285128001274, ,26.4
Voltic,6285128001540, ,18.95
Acretin,6285128001632,"<p><strong>Highlights:</strong></p><ul>
<li>Acretin 1.2% (clindamycin / tretinoin) is a combination of two medications that treat acne.</li><li>Clindamycin is a lincosamide antibiotic that kills acne-causing bacteria on the skin.</li><li>Tretinoin is a retinoic acid derivative, which is related to vitamin A. It promotes healthy skin growth and lowers the amount of oil on your skin.</li></ul>",26.75
Elicasal,6285128001731, ,25.55
Jp,6285128002028,,33.0
Erecta,6285128002462, ,48.55
Clara,6285128002653,"<p><strong>Highlights:</strong></p><ul>
<li>Claritin syrup relieves multiple symptoms, including sneezing, runny nose, itchy & watery eyes and itchy nose or throat</li><li>Loratidine syrup is suitable for above 2 years</li><li>The Loratidine effect lasts for 24 hours</li><li>Loratidine is non-drowsy; it gives relief from symptoms without drowsiness, so you can make the most of your day</li></ul>",17.65
Jp,6285128003773, ,67.0
Jp,6285128003780,,19.25
Levozal,6285128006316,"<p><strong>Highlights:</strong></p><ul><li>Levocetirizine dihydrochloride is a medication that belongs to a class of medicines called “antihistamines”. </li><li>It is used for the relief of signs and symptoms related to seasonal allergic rhinitis (allergic reactions triggered by seasonal allergens such as tree pollen, grass pollen, and weed pollen causing stuffy and runny nose) and perennial allergic rhinitis (allergic reactions triggered by perennial allergens such as dust mites, mold, pet dander, and some insects causing stuffy and runny nose). </li><li>It is also used for the treatment of uncomplicated skin manifestations of chronic idiopathic urticaria (chronic hives that result in itchy, red bumps or wheals).</li></ul>",19.4
Vitalife,6285128011426, ,110.65
Dapox,6285128012973,,52.65
Jp,6285128014779,"<p><strong>Highlights:</strong></p><ul>
<li>JP Melatonin™ 5mg can help restore day-and-night night rhythm and reduce the symptoms of disturbed sleep patterns.</li><li>You must talk to a doctor if you do not feel better or worsen after 5 days.</li><li>JP Melatonin™ Helps improve sleep quality related to:</li><li>Primary insomnia (insomnia which is not due to some secondary cause)</li><li>Age-related insomnia</li><li>Jet lag</li><li>Shift work</li><li>Post-traumatic brain injury</li><li>Neuro-degenerative disorders</li></ul>",159.0
Rapidus,6285147000289,,17.15
Derma T,6285147000876, ,22.15
Divido,6285147000920, ,30.65
Fexodine,6285147001194, ,16.85
Fexodine,6285147001200, ,16.85
Herox,6285147001514, ,20.0
Herox,6285147001538, ,186.8
Neuro B,6285147002771, ,13.45
Prof,6285147003365,,11.35
Prof,6285147003396,,15.65
Prof,6285147003419, ,12.45
Rapidus,6285147003730, ,29.1
Tabunex,6285147004621,"<p><strong>Highlights:</strong></p><ul>
<li>Mometasone is a corticosteroid that mediates anti-inflammatory actions.</li><li>Mometasone works by attenuating the inflammatory responses associated with asthma, allergic rhinitis, nasal polyps, and corticosteroid-responsive dermatoses.</li><li>It suppresses the actions of inflammatory cells, such as mast cells, eosinophils, basophils, lymphocytes, macrophages, and neutrophils.</li></ul>",46.25
Tabuvan,6285147004706,"<p><strong>Highlights:</strong></p><ul><li>Treatment of high blood pressure in children and adolescents aged 6 to under 18 years.</li><li>High blood pressure increases the workload on the heart and arteries. If left untreated, it can damage the blood vessels in the brain, heart and kidneys, and can lead to stroke, heart failure or kidney failure. High blood pressure increases the risk of heart attack.</li></ul>",32.95
Aspicard,6285147014590,<p><strong>Highlights:</strong></p><ul><li>Mild and moderate pain relief</li><li>Non-steroidal anti-inflammatory drug</li><li>Protection from the formation of clots</li><li>Helps reduce the risk of blood clots</li><li>Acts as an antiplatelet agent</li></ul>,30.0
Ezilax,6285147800230, ,18.45
Ezipan,6285147800247, ,39.65
Prof,6285147802128,,6.45
Nasonex,6285193000141,,47.55
Deslin,6285312000021, ,15.9
X Max,6285756001196,<h3><strong>Highlights:</strong></h3><ul><li><strong>Lubricating lotion with a balanced formula</strong></li><li><strong>It is used to moisturize men\'s sensitive areas and gives a sense of comfort and softness with a pleasant scent</strong></li><li><strong>How to use: An appropriate amount is placed on the sensitive area and massaged well until absorption</strong></li><li><strong>Warning: For external use only and keep out of reach of children</strong></li></ul>,56.64
Megatone,6286127000275,,115.0
Centrum,6286740000027, ,55.0
Centrum,6286740000041, ,55.0
Tahara,6287001780047,"<h3><strong>Highlights:</strong></h3><ul>
<li><strong>The Tahara wipes are antibacterial.</strong></li><li><strong>These wipes have been dermatologically testes.</strong></li><li><strong>They have a pH level of 5.5, which is neutral for the skin.</strong></li><li><strong>They can be carried on trips and can easily fit in cars and handbags.</strong></li><li><strong>The box contains 20 wet wipes, of two types – water wipes and musk purity wipes.</strong></li><li><strong>Each wipe comes in an individual packet.</strong></li><li><strong>They are sterile water wipes and can be used as a substitute for water.</strong></li><li><strong>The product can be used by both men and women.</strong></li></ul>",25.3
V Wash,6287002339510, ,68.7
Soma,6288002700607,,13.8
Actodryl,6288030000038, ,6.9
Vega,6288030000045, ,43.7
Vega,6288030000106, ,43.7
Healax,6288030000472,"<p><strong>Highlights:</strong></p><ul>
<li>Healax Cream is used for skin rashes caused by diapers.</li><li>Moisturizer to treat or prevent dry, rough, flaky, itchy skin and minor skin irritations</li></ul>",30.43
Curasept,6288030000489, ,27.5
Povidone,6288030001165,,12.0
Spi Ipa,6288030002667,<p><strong>Highlights:</strong></p><ul><li>Isopropyl Alcohol 70% m First Aid Sanitizer We recommend using with Air Queen Muzzle Nano-Fiber Composition: Alcohol 70% Isopropyl Alcohol H/h Purified Water up to 100% H/H</li><li>Item form: Liquid</li><li>Skin type: All</li><li>Container Type: Bottle</li></ul>,10.0
Spi Ipa,6288030002704,<p><strong>Highlights:</strong></p><ul><li>Isopropyl Alcohol 70% m First Aid Sanitizer We recommend using with Air Queen Muzzle Nano-Fiber Composition: Alcohol 70% Isopropyl Alcohol H/h Purified Water up to 100% H/H</li><li>Item form: Liquid</li><li>Skin type: All</li><li>Container Type: Bottle</li><li>Liquid volume: 250 milliliters</li><li>Item form: Liquid</li></ul>,15.0
Wow,6290360501024,"<p><strong>Highlights:</strong></p><ul>
<li>Helps in the Freshness of the Skin</li><li>Helps Nourish and Strengthen Joints</li><li>Helps in The Ideal Nutrition of The Muscles</li></ul>",350.0
Laperva,6290360501031,"<p><strong>Highlights:</strong></p><ul>
<li>Rapidly Absorbed</li><li>No Sugar, Carb, or Fat</li><li>Supports Muscle Growth</li><li>Supports muscle recovery</li></ul>",365.0
Laperva,6290360501055,"<p><strong>Highlights:</strong></p><ul>
<li>Rapidly Absorbed</li><li>No Sugar, Carb, or Fat</li><li>Supports Muscle Growth</li><li>Supports muscle recovery</li><li>26g Protein per serving</li></ul>",365.0
Laperva,6290360501970,<p><strong>Highlights:</strong></p><ul><li>Improve Mental Focus</li><li>Support Testosterone Production</li><li>Enhance Athletic Performance and Energy</li></ul>,145.0
Laperva,6290360502144,"<p><strong>Highlights:</strong></p><ul>
<li>High protein content per serving</li><li>Free of sugar, fat, and carbohydrates</li><li>Support muscle growth and aid in muscle recovery</li></ul>",347.0
Body Builder,6290360503837,<p><strong>Highlights:</strong></p><ul><li>Ease of Carrying it Anywhere</li><li>Provided with Measuring Marks</li><li>Easy to Use</li></ul>,25.0
Laperva,6290360503981,"<p><strong>Highlights:</strong></p><ul>
<li>Versatile Creatine Blend: Harness the power of six distinct forms of creatine meticulously blended to deliver unparalleled benefits. This comprehensive spectrum optimizes your body's response to creatine, unlocking enhanced results.</li><li>Electrolyte Enrichment: Elevate your athletic performance with the infusion of essential electrolytes. These vital minerals contribute to improved hydration, muscle function, and overall physical resilience.</li><li>Amplified Athletic Performance: Unlock your true potential as Laperva Triple Creatine Next Gen drives improvements in strength, power, and endurance. Elevate your performance on the field, in the gym, or wherever your passion takes you.</li><li>Accelerated Muscle Growth and Recovery: Experience accelerated muscle growth and efficient recovery with this cutting-edge formula. Your muscles are primed to thrive, repair, and rejuvenate after intense workouts.</li><li>Cognitive Enhancement: Elevate&",150.0
Vatika,6291069702897,"<p><strong>Highlights:</strong></p><ul>
<li>provides long-lasting hold</li><li>Gives intense shine for organized styling without falling out or stickiness</li><li>Strengthens and protects your hair while styling</li></ul>",15.0
Vatika,6291069741766,"<p><strong>Highlights:</strong></p><ul>
<li>Vatika Hair Styling Gel for Men.</li><li> Gives hair a natural shine for a healthy and attractive look.</li><li> Creates a unique hairstyle and keeps it for a long time.</li><li> Suitable for all hair types.</li><li> It consists of an advanced formula that provides strong hold, hair hydration and a shiny appearance.</li><li> Does not leave a greasy residue.</li><li> Long lasting, water resistant hair hold.</li></ul>",25.0
Adol,6291100080045,"<p><strong>Highlights:</strong></p><ul><li>It is used to relieve minor to moderate pain, including teething pain.</li><li>Reducing fever and relieving discomfort that may result from infections, especially in the case of cold and flu.</li></ul>",6.1
Adol,6291100080069, ,5.05
Amydramin,6291100080274,,5.15
Profinal,6291100080427, ,7.9
Betasone,6291100080458,"<p><strong>Highlights:</strong></p><ul>
<li>IT IS USED TO TREAT PSORIASIS. </li><li>IT IS USED TO TREAT SKIN IRRITATION. </li><li>IT IS USED TO TREAT SKIN RASHES.</li></ul>",5.15
Adol,6291100080557,,5.7
Scopinal,6291100080953, ,7.4
Alfacort,6291100081059, ,8.2
Adol,6291100081394, ,7.5
Amydramin,6291100081868, ,7.15
Amydramin,6291100082278,,8.3
Adol,6291100082377, ,5.8
Mebo,6291100083367, ,36.0
Dizinil,6291100086306, ,9.4
Premosan,6291100088232, ,3.6
Enegry,6291100270675,<p><strong>Highlights:</strong></p><ul><li>Rich in natural nourishing properties</li><li>Makes hair look renewed and vibrant</li><li>Moisturizes hair to give it a beautiful look</li></ul>,52.9
Nexcare,6291103651082,,15.0
Emifenac,6291103730459, ,18.85
